"id","user_id","type","title","title_thai","message","message_thai","data","read_at","created_at"
"1ad786e2-81d4-4de2-b789-b23863d6b35b","DOC-TEST-001","appointment_assigned","New Appointment Assigned","นัดหมายใหม่มอบหมายให้คุณ","A new appointment has been assigned to you by admin.","มีนัดหมายใหม่ที่ Admin มอบหมายให้คุณ รอการยืนยัน","{""assignedBy"":""ADMIN-TEST-001"",""appointmentId"":""APT-1782277109093-1BD12C46""}",,"""2026-06-24T04:58:44.300Z"""
"7be26556-1dc0-4164-b1ec-c8cf44bf551d","PATIENT-DEMO","lab_results","ผลแล็บพร้อมแล้ว","ผลแล็บของคุณพร้อมแล้ว","แพทย์ส่งผลการตรวจแล็บของคุณแล้ว","แพทย์ส่งผลการตรวจแล็บของคุณแล้ว กรุณาตรวจสอบในหน้าสุขภาพของฉัน","{""lab_order_id"":""LAB-1782277242410"",""appointment_id"":""APT-1782277109093-1BD12C46""}",,"""2026-06-24T05:00:43.838Z"""
"b9c1f423-2518-4524-8f19-a73682472c47","PATIENT-DEMO","appointment_confirmed","นัดหมายได้รับการยืนยัน","นัดหมายได้รับการยืนยัน","นัดหมายของคุณได้รับการยืนยันจาก นพ. ทดสอบ แพทย์ดี วันที่ 2026-06-24 เวลา 10:00","นัดหมายของคุณได้รับการยืนยันจาก นพ. ทดสอบ แพทย์ดี วันที่ 2026-06-24 เวลา 10:00","{""meetingLink"":""https://meet.jit.si/Izara-APT-17822771-a337ef31#config.startWithAudioMuted=false&config.startWithVideoMuted=false&config.enableClosePage=true&config.disableDeepLinking=true&config.defaultLanguage=th&userInfo.displayName=Demo+Test+Patient&config.requireDisplayName=false&config.prejoinPageEnabled=false&config.enableLobby=false&config.lobbyModeEnabled=false&config.enableLobbyChat=false&config.fileRecordingsEnabled=true&config.localRecording.enabled=false&interfaceConfig.APP_NAME=Izara+Telemedicine&interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE=false"",""appointmentId"":""APT-1782277109093-1BD12C46"",""confirmedDate"":""2026-06-24"",""confirmedTime"":""10:00"",""calendarEventUrl"":""https://calendar.google.com/calendar/render?action=TEMPLATE&text=Izara+Telehealth+%E2%80%94+%E0%B8%99%E0%B8%9E.+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%B5&dates=20260624T100000Z%2F20260624T103000Z&details=Patient%3A+%E0%B8%99%E0%B8%B2%E0%B8%A2+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%0AAppointment%3A+APT-1782277109093-1BD12C46%0AJoin%3A+https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse&location=https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse""}",,"""2026-06-24T04:58:53.875Z"""
"27793542-06da-4288-b47c-942a3e2b24cb","PATIENT-DEMO","meeting_link_ready","ลิงก์ประชุมพร้อมแล้ว","ลิงก์ประชุมพร้อมแล้ว","คุณสามารถเข้าร่วมการประชุมออนไลน์ได้ที่ลิงก์ที่แนบมา","คุณสามารถเข้าร่วมการประชุมออนไลน์ได้ที่ลิงก์ที่แนบมา","{""meet_link"":""https://meet.jit.si/Izara-APT-17822771-a337ef31#config.startWithAudioMuted=false&config.startWithVideoMuted=false&config.enableClosePage=true&config.disableDeepLinking=true&config.defaultLanguage=th&userInfo.displayName=Demo+Test+Patient&config.requireDisplayName=false&config.prejoinPageEnabled=false&config.enableLobby=false&config.lobbyModeEnabled=false&config.enableLobbyChat=false&config.fileRecordingsEnabled=true&config.localRecording.enabled=false&interfaceConfig.APP_NAME=Izara+Telemedicine&interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE=false"",""meetingLink"":""https://meet.jit.si/Izara-APT-17822771-a337ef31#config.startWithAudioMuted=false&config.startWithVideoMuted=false&config.enableClosePage=true&config.disableDeepLinking=true&config.defaultLanguage=th&userInfo.displayName=Demo+Test+Patient&config.requireDisplayName=false&config.prejoinPageEnabled=false&config.enableLobby=false&config.lobbyModeEnabled=false&config.enableLobbyChat=false&config.fileRecordingsEnabled=true&config.localRecording.enabled=false&interfaceConfig.APP_NAME=Izara+Telemedicine&interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE=false"",""appointmentId"":""APT-1782277109093-1BD12C46"",""confirmedDate"":""2026-06-24"",""confirmedTime"":""10:00"",""calendarEventUrl"":""https://calendar.google.com/calendar/render?action=TEMPLATE&text=Izara+Telehealth+%E2%80%94+%E0%B8%99%E0%B8%9E.+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%B5&dates=20260624T100000Z%2F20260624T103000Z&details=Patient%3A+%E0%B8%99%E0%B8%B2%E0%B8%A2+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%0AAppointment%3A+APT-1782277109093-1BD12C46%0AJoin%3A+https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse&location=https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse""}",,"""2026-06-24T04:58:53.879Z"""
"55d038ca-f8c3-4622-bbfb-7eaf828d2853","DOC-TEST-001","schedule_entry_ready","นัดหมายยืนยันแล้ว — เพิ่มในตาราง","นัดหมายยืนยันแล้ว — เพิ่มในตาราง","นัดหมายกับ นาย ทดสอบ ระบบ วันที่ 2026-06-24 เวลา 10:00","นัดหมายกับ นาย ทดสอบ ระบบ วันที่ 2026-06-24 เวลา 10:00","{""patientId"":""PATIENT-DEMO"",""meetingLink"":""https://meet.jit.si/Izara-APT-17822771-a337ef31#config.startWithAudioMuted=false&config.startWithVideoMuted=false&config.enableClosePage=true&config.disableDeepLinking=true&config.defaultLanguage=th&userInfo.displayName=Demo+Test+Patient&config.requireDisplayName=false&config.prejoinPageEnabled=false&config.enableLobby=false&config.lobbyModeEnabled=false&config.enableLobbyChat=false&config.fileRecordingsEnabled=true&config.localRecording.enabled=false&interfaceConfig.APP_NAME=Izara+Telemedicine&interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE=false"",""appointmentId"":""APT-1782277109093-1BD12C46"",""confirmedDate"":""2026-06-24"",""confirmedTime"":""10:00"",""calendarEventUrl"":""https://calendar.google.com/calendar/render?action=TEMPLATE&text=Izara+Telehealth+%E2%80%94+%E0%B8%99%E0%B8%9E.+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%B5&dates=20260624T100000Z%2F20260624T103000Z&details=Patient%3A+%E0%B8%99%E0%B8%B2%E0%B8%A2+%E0%B8%97%E0%B8%94%E0%B8%AA%E0%B8%AD%E0%B8%9A+%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%0AAppointment%3A+APT-1782277109093-1BD12C46%0AJoin%3A+https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse&location=https%3A%2F%2Fmeet.jit.si%2FIzara-APT-17822771-a337ef31%23config.startWithAudioMuted%3Dfalse%26config.startWithVideoMuted%3Dfalse%26config.enableClosePage%3Dtrue%26config.disableDeepLinking%3Dtrue%26config.defaultLanguage%3Dth%26userInfo.displayName%3DDemo%2BTest%2BPatient%26config.requireDisplayName%3Dfalse%26config.prejoinPageEnabled%3Dfalse%26config.enableLobby%3Dfalse%26config.lobbyModeEnabled%3Dfalse%26config.enableLobbyChat%3Dfalse%26config.fileRecordingsEnabled%3Dtrue%26config.localRecording.enabled%3Dfalse%26interfaceConfig.APP_NAME%3DIzara%2BTelemedicine%26interfaceConfig.SHOW_PROMOTIONAL_CLOSE_PAGE%3Dfalse""}",,"""2026-06-24T04:58:53.882Z"""
"f9d2cc46-46fc-42ae-b50c-ba6d845ebd25","PATIENT-SOMCHAI","appointment_reminder_1h","Appointment in 1 hour",,"You have an upcoming appointment (APT-SEED-001) on Wed Jun 24 2026 00:00:00 GMT+0000 (Coordinated Universal Time) at 09:00:00.",,"{""appointmentId"":""APT-SEED-001"",""appointmentDate"":""2026-06-24T00:00:00.000Z"",""appointmentTime"":""09:00:00""}",,"""2026-06-24T07:52:44.704Z"""
"22971652-6ef7-4a5d-abc0-dab579a394d6","DOC-TEST-001","appointment_reminder_1h","Appointment in 1 hour",,"You have an upcoming appointment (APT-SEED-001) on Wed Jun 24 2026 00:00:00 GMT+0000 (Coordinated Universal Time) at 09:00:00.",,"{""appointmentId"":""APT-SEED-001"",""appointmentDate"":""2026-06-24T00:00:00.000Z"",""appointmentTime"":""09:00:00""}",,"""2026-06-24T07:52:44.714Z"""
"e88ff3d8-a348-4068-8620-00f3e7db0b39","PATIENT-SOMCHAI","appointment_confirmed","Appointment Confirmed","ยืนยันนัดหมายแล้ว","Your appointment has been confirmed","นัดหมายของคุณได้รับการยืนยันแล้ว","{""appointmentId"":""APT-SEED-001""}",,"""2026-06-24T04:57:58.626Z"""
"47b01b26-da0a-4a88-a36d-2b67ca32d040","PATIENT-ANAN","appointment_confirmed","Appointment Confirmed","ยืนยันนัดหมายแล้ว","Your appointment has been confirmed","นัดหมายของคุณได้รับการยืนยันแล้ว","{""appointmentId"":""APT-SEED-002""}",,"""2026-06-24T04:57:58.626Z"""
"488d01aa-0ec7-42c2-a259-00d9b2223afe","DOC-TEST-001","appointment_requested","New Appointment Request","มีนัดหมายใหม่","Patient has requested an appointment","ผู้ป่วยขอนัดหมาย","{""appointmentId"":""APT-SEED-003""}",,"""2026-06-24T04:57:58.626Z"""
