"id","user_id","patient_id","action","entity_type","entity_id","details","old_value","new_value","ip_address","user_agent","performed_by","created_at"
"audit_1781797372729",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T15:42:52.703Z"""
"audit_1781799569037",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T16:19:28.651Z"""
"audit_1781800715322",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T16:38:35.318Z"""
"audit_1781800863268",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T16:41:03.264Z"""
"audit_1781801987108",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T16:59:47.095Z"""
"audit_1781802931919",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-18T17:15:31.910Z"""
"audit_1781836847331",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T02:40:47.323Z"""
"audit_1781839048598",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T03:17:28.585Z"""
"audit_1781842815906",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T04:20:15.891Z"""
"audit_1781844412557",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T04:46:52.544Z"""
"audit_1781845827232",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T05:10:27.229Z"""
"audit_1781849461762",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-19T06:11:01.758Z"""
"audit_1782101085967",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T04:04:45.961Z"""
"audit_1782101329678",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T04:08:49.674Z"""
"audit_1782102527717",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T04:28:47.708Z"""
"audit_1782104983855",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T05:09:43.850Z"""
"audit_1782106210372",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T05:30:10.367Z"""
"audit_1782106684068",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T05:38:04.064Z"""
"audit_1782107923212",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T05:58:43.207Z"""
